income,age,p
-758.92,11.68,0.0
-758.92,14.84,0.0
-758.92,18.0,0.0
-758.92,21.16,0.0
-758.92,24.32,0.0
-758.92,27.48,0.0
-758.92,30.64,0.0
-758.92,33.8,0.0
-758.92,36.96,0.0
-758.92,40.12,0.0
-758.92,43.28,0.0
-758.92,46.44,0.0
-758.92,49.6,0.0
-758.92,52.76,0.0
-758.92,55.92,0.0
-758.92,59.08,0.0
-758.92,62.24,0.0
-758.92,65.4,0.0
-758.92,68.56,0.0
-758.92,71.72,0.0
-758.92,74.88,0.0
-758.92,78.04,0.0
-758.92,81.2,0.0
-758.92,84.36,0.0
-758.92,87.52,0.0
-758.92,90.68,0.0
-758.92,93.84,0.0
-758.92,97.0,0.0
-758.92,100.16,0.0
-758.92,103.32,0.0
-378.96,11.68,0.0
-378.96,14.84,0.0
-378.96,18.0,0.0
-378.96,21.16,0.0
-378.96,24.32,0.0
-378.96,27.48,0.0
-378.96,30.64,0.0
-378.96,33.8,0.0
-378.96,36.96,0.0
-378.96,40.12,0.0
-378.96,43.28,0.0
-378.96,46.44,0.0
-378.96,49.6,0.0
-378.96,52.76,0.0
-378.96,55.92,0.0
-378.96,59.08,0.0
-378.96,62.24,0.0
-378.96,65.4,0.0
-378.96,68.56,0.0
-378.96,71.72,0.0
-378.96,74.88,0.0
-378.96,78.04,0.0
-378.96,81.2,0.0
-378.96,84.36,0.0
-378.96,87.52,0.0
-378.96,90.68,0.0
-378.96,93.84,0.0
-378.96,97.0,0.0
-378.96,100.16,0.0
-378.96,103.32,0.0
1.0,11.68,0.0
1.0,14.84,0.0
1.0,18.0,0.0009
1.0,21.16,0.00045
1.0,24.32,0.00045
1.0,27.48,0.00045
1.0,30.64,0.0
1.0,33.8,0.00135
1.0,36.96,0.0
1.0,40.12,0.00045
1.0,43.28,0.00045
1.0,46.44,0.00045
1.0,49.6,0.0
1.0,52.76,0.00045
1.0,55.92,0.00045
1.0,59.08,0.00045
1.0,62.24,0.0
1.0,65.4,0.00045
1.0,68.56,0.00045
1.0,71.72,0.00045
1.0,74.88,0.0009
1.0,78.04,0.0
1.0,81.2,0.0
1.0,84.36,0.0
1.0,87.52,0.0
1.0,90.68,0.0
1.0,93.84,0.0
1.0,97.0,0.0
1.0,100.16,0.0
1.0,103.32,0.0
380.96,11.68,0.0
380.96,14.84,0.0
380.96,18.0,0.00538
380.96,21.16,0.01211
380.96,24.32,0.00942
380.96,27.48,0.00673
380.96,30.64,0.00224
380.96,33.8,0.00224
380.96,36.96,0.00359
380.96,40.12,0.00224
380.96,43.28,0.00404
380.96,46.44,0.00359
380.96,49.6,0.00269
380.96,52.76,0.00583
380.96,55.92,0.00583
380.96,59.08,0.00135
380.96,62.24,0.00269
380.96,65.4,0.00762
380.96,68.56,0.00673
380.96,71.72,0.00359
380.96,74.88,0.00359
380.96,78.04,0.00314
380.96,81.2,0.0009
380.96,84.36,0.00045
380.96,87.52,0.0009
380.96,90.68,0.0
380.96,93.84,0.0
380.96,97.0,0.0
380.96,100.16,0.0
380.96,103.32,0.0
760.92,11.68,0.0
760.92,14.84,0.0
760.92,18.0,0.00448
760.92,21.16,0.01031
760.92,24.32,0.00404
760.92,27.48,0.00807
760.92,30.64,0.00583
760.92,33.8,0.00493
760.92,36.96,0.00404
760.92,40.12,0.00359
760.92,43.28,0.00448
760.92,46.44,0.00897
760.92,49.6,0.00852
760.92,52.76,0.00717
760.92,55.92,0.00717
760.92,59.08,0.00628
760.92,62.24,0.01076
760.92,65.4,0.0157
760.92,68.56,0.01435
760.92,71.72,0.00762
760.92,74.88,0.00942
760.92,78.04,0.00448
760.92,81.2,0.00404
760.92,84.36,0.00135
760.92,87.52,0.00045
760.92,90.68,0.0
760.92,93.84,0.0
760.92,97.0,0.0
760.92,100.16,0.0
760.92,103.32,0.0
1140.88,11.68,0.0
1140.88,14.84,0.0
1140.88,18.0,0.00045
1140.88,21.16,0.00448
1140.88,24.32,0.00717
1140.88,27.48,0.00628
1140.88,30.64,0.00493
1140.88,33.8,0.00987
1140.88,36.96,0.00493
1140.88,40.12,0.00628
1140.88,43.28,0.00852
1140.88,46.44,0.01256
1140.88,49.6,0.01076
1140.88,52.76,0.01211
1140.88,55.92,0.00673
1140.88,59.08,0.00583
1140.88,62.24,0.00762
1140.88,65.4,0.0157
1140.88,68.56,0.01121
1140.88,71.72,0.01121
1140.88,74.88,0.01659
1140.88,78.04,0.01076
1140.88,81.2,0.00762
1140.88,84.36,0.00314
1140.88,87.52,0.00179
1140.88,90.68,0.00135
1140.88,93.84,0.0
1140.88,97.0,0.00045
1140.88,100.16,0.0
1140.88,103.32,0.0
1520.84,11.68,0.0
1520.84,14.84,0.0
1520.84,18.0,0.0
1520.84,21.16,0.00314
1520.84,24.32,0.00448
1520.84,27.48,0.01121
1520.84,30.64,0.00807
1520.84,33.8,0.00538
1520.84,36.96,0.01031
1520.84,40.12,0.00628
1520.84,43.28,0.00404
1520.84,46.44,0.01345
1520.84,49.6,0.00942
