mpg_city,year
15,1992
13,1994
17,1999
16,2003
15,2007
23,1989
16,2008
24,1994
13,2003
21,2001
17,2001
23,1993
15,1991
19,1998
7,1996
15,1996
15,1988
15,1987
18,1988
19,2006
9,2002
22,1988
16,2001
13,1992
20,2008
21,1998
15,1985
15,1989
10,2007
16,1990
11,2006
26,1985
24,1992
15,2002
18,1985
16,1989
18,1989
22,1986
11,1991
15,2008
16,1985
28,2002
24,1987
9,1987
17,1999
15,1999
23,1985
11,2005
21,1995
14,2008
15,2007
19,2007
14,2005
11,1993
30,1992
18,1985
11,2004
17,1995
16,2004
19,1990
13,2003
19,1999
15,1993
11,1989
14,1989
13,2003
26,1996
15,2005
19,2006
13,1997
20,2008
13,2002
25,1985
24,1985
15,1995
14,1988
15,1991
17,1988
11,1991
17,2005
18,2001
18,2000
14,2003
17,2004
17,1987
18,1996
19,2007
18,1986
14,2004
17,1991
18,1986
21,1985
18,2007
16,1987
15,1989
30,2003
15,2000
13,1987
21,1992
16,2003
18,2007
15,1997
15,1985
14,2003
13,1991
10,1987
29,1985
17,1995
21,1995
23,1987
26,2000
11,2000
32,2004
31,1989
15,1995
13,1989
18,2005
14,2002
16,2005
16,2008
19,1985
15,2004
13,2006
16,2008
18,2000
17,1989
17,1985
18,2005
15,1992
21,2001
14,2008
18,1990
15,1998
21,2003
25,1995
21,1992
17,2002
13,1996
21,1985
16,1988
15,1985
18,1997
15,1995
21,1998
17,2007
21,1988
11,1994
17,1985
9,2005
17,2008
17,1991
11,1993
23,2006
11,1990
10,1992
21,1999
18,2004
21,1998
9,1998
16,2007
18,1988
11,2003
18,1985
11,2006
18,1990
21,1986
15,2006
16,1992
17,2006
22,2008
21,1994
11,1987
26,1986
15,2004
18,1987
18,1995
22,1988
21,1999
16,1999
48,2008
13,1989
21,1987
18,2007
18,1991
21,1986
22,2004
13,1985
17,1997
22,1996
17,2003
18,2001
16,2005
17,1991
15,1986
15,1995
14,2007
18,2004
13,1992
15,1987
21,1985
14,1990
23,2004
21,1992
8,2006
14,2006
14,1997
15,1988
14,2001
16,2005
11,2006
21,1988
15,1985
16,1990
18,1990
11,1991
17,1994
19,1985
23,1996
13,1993
15,1992
18,1986
23,1987
22,1985
18,2004
16,1994
17,1997
15,1996
40,2007
11,2008
18,1996
17,1999
18,2004
15,1986
16,2004
21,1988
16,1986
24,1986
17,1999
19,2005
15,2006
14,1990
17,1995
16,1986
16,1988
26,1987
32,1990
15,2001
18,1985
15,1999
19,2005
13,2004
16,1993
15,1992
18,1992
15,1990
13,2008
21,2005
15,2000
21,1986
18,1985
16,2004
15,2007
17,2002
21,1990
15,1992
21,2006
9,1992
16,2002
33,1986
28,1988
24,1996
21,1988
14,1998
22,2008
19,1996
18,2002
19,1994
18,1988
17,1989
18,2006
11,1989
15,2006
14,2006
16,1990
16,2001
13,2008
16,1988
17,2001
19,1999
18,1985
18,1987
18,1999
28,1991
19,2001
21,2002
14,2006
17,1985
14,1992
17,2000
19,2001
18,1991
18,2002
26,1996
15,2006
19,1991
11,1992
21,1993
19,1986
15,2001
23,1986
17,1997
16,2007
18,2005
10,1986
16,1985
18,1987
17,1996
19,1996
10,1987
10,2005
19,2001
15,1985
21,2008
17,1994
11,1998
23,1999
14,2001
15,1996
18,1995
31,1986
18,1991
16,1988
21,2006
26,2007
18,1987
28,2000
