linearity,z_min
0.3368,0.0287
0.20199999999999999,-0.466
0.3399,-0.09699999999999999
0.1034,6.921
0.2223,-0.044000000000000004
0.5234,-0.053
0.23,2.81
0.2928,0.027999999999999997
0.3267,-0.0823
0.4206,0.9348
0.2753,10.389000000000001
0.2703,14.232999999999999
0.5626,5.657
0.2522,6.726
0.3474,-0.07
0.35200000000000004,0.264
0.2986,-0.071
0.3271,12.030999999999999
0.2643,-0.023
0.2952,-0.071
0.2517,22.493000000000002
0.2709,-0.09300000000000001
0.3606,3.1372
0.292,0.1309
0.3925,10.038
0.39,-0.0425
0.3425,1.6369999999999998
0.3295,2.434
0.2092,1.619
0.3074,8.8735
0.3136,-0.037000000000000005
0.2574,-0.013999999999999999
0.5572,8.033
0.5827,-0.02
0.2768,-0.04
0.4845,-0.048
0.3167,4.81
0.3448,5.662000000000001
0.2707,-0.037000000000000005
0.3565,0.23
0.3406,15.544
0.6358,-0.051
0.32799999999999996,13.722000000000001
0.4842,0.0417
0.43200000000000005,5.1307
0.3204,0.5765
0.2476,12.26
0.3551,4.117
0.3569,-0.0147
0.38799999999999996,-0.013999999999999999
0.7914,2.9297
0.6925,5.9475
0.2793,8.9775
0.4194,0.3817
0.3901,2.524
0.2775,14.2165
0.2878,1.1740000000000002
0.2181,0.8753
0.2327,15.7643
0.3421,0.078
0.2569,0.3765
0.2297,2.563
0.3889,0.6835
0.1987,3.2242
0.3581,13.8223
0.1897,6.3382
0.353,2.767
0.2817,18.881
0.3952,8.405
0.4505,7.7
0.3204,0.5765
0.3028,16.9701
0.2732,0.047
0.5845,4.2010000000000005
0.1847,-0.21
0.4581,6.465
0.3969,0.2341
0.2651,7.186
0.2196,0.025
0.3485,20.1828
0.5026,8.6265
0.3003,-0.0123
0.1436,2.4207
0.2039,0.1179
0.2783,1.54
0.2679,10.2752
0.1909,11.235999999999999
0.2621,9.9733
0.4676,7.962000000000001
0.2757,-0.086
0.11699999999999999,0.0444
0.2426,12.3427
0.2573,1.574
0.2877,1.253
0.3844,2.7882
0.4062,4.135
0.1947,-0.0275
0.9062,5.6259
0.4544,18.893
0.2606,12.083
0.3827,8.149
0.3226,6.649
0.136,0.042
0.39,-0.159
0.2586,-0.21100000000000002
0.2089,5.729
0.8479,-0.033
0.2951,0.040999999999999995
0.237,13.0873
0.2521,-0.0845
0.27899999999999997,0.0299
0.2138,-0.05
0.36700000000000005,5.695
0.4563,3.7344
0.3297,-0.7777
0.2307,-0.0135
0.2325,-0.071
0.6415,1.8969999999999998
0.5854,3.3285
0.2586,-0.054000000000000006
0.3773,0.233
0.3018,10.5868
0.2776,2.6378
0.23800000000000002,14.082
0.4473,1.8430000000000002
0.5615,0.46399999999999997
0.1934,3.0727
0.2623,0.0077
0.2192,-0.2008
0.397,-0.11
0.3545,8.993
0.3673,15.459000000000001
0.3433,5.0308
0.5276,7.01
0.1796,-0.0201
0.2707,2.293
0.298,7.334
0.2261,8.5287
0.2495,28.669
0.3886,0.495
0.1883,-0.013999999999999999
0.1418,-0.0325
0.384,6.138
0.2875,0.42100000000000004
0.3425,4.051
0.2958,9.446
0.373,3.3602
0.2934,0.142
0.4197,10.637
0.4439,11.713
0.4974,12.533
0.3956,-0.054000000000000006
0.5669,0.26899999999999996
0.1832,7.1817
0.2392,-0.0114
0.3752,12.7955
0.331,1.085
0.3868,2.906
0.2598,-0.052000000000000005
0.3865,3.5725
0.2646,-0.008
0.4141,16.293
0.2665,5.941
0.2375,-0.061
0.5968,2.6919999999999997
0.2386,16.8223
0.2199,-0.031
0.2243,8.825
0.3458,0.084
0.2353,0.037000000000000005
0.2517,-0.019
0.4065,2.085
0.4177,1.784
0.3752,2.439
0.1341,2.11
0.2851,14.82
0.3609,2.1478
0.2253,2.3819999999999997
0.1517,2.5425
0.2636,-0.11599999999999999
0.4125,-0.031
0.255,-0.0437
0.3123,0.1808
0.09,1.8336
0.5545,6.789
0.3075,5.1815
0.3329,3.543
0.2495,7.485
0.1465,4.5704
0.162,4.5691
0.4968,2.477
0.4569,7.385
0.1309,0.026000000000000002
0.3436,6.142
0.7275,10.751
0.2503,0.23199999999999998
0.3793,2.392
0.4182,-0.04
0.4945,5.497999999999999
0.2786,2.4304
0.2229,-0.013000000000000001
0.10800000000000001,-0.099
0.3311,-0.3312
0.2622,7.7849
0.1876,1.2345
0.2473,0.9235
0.2658,0.053
0.2804,11.543
0.2956,10.324000000000002
0.3934,-0.057999999999999996
0.4038,7.936
0.3602,15.1459
0.2896,3.4960000000000004
0.4167,5.87
0.5155,7.0405
0.3075,10.306
0.4021,3.332
0.2967,6.6339999999999995
0.3802,4.617
0.6644,11.523
0.2926,0.149
0.4363,8.964
0.6637,9.236
0.4397,3.24
0.3927,2.454
0.5422,8.3553
0.3628,-0.0259
0.2425,-0.121
0.1587,-0.022000000000000002
0.4341,1.2383
0.2703,-0.019
0.358,7.77
0.1485,-0.0306
0.4436,9.656
0.3516,4.4910000000000005
0.2883,1.215
0.2629,1.8212
0.2955,7.0361
0.259,0.2937
0.2369,1.557
0.39299999999999996,2.4654
0.3893,8.141
0.377,1.8230000000000002
0.2821,2.0885
0.4274,7.317
