fare,age,p
-48.15894,-7.0824,0.0
-48.15894,-6.1272,0.0
-48.15894,-5.172,0.0
-48.15894,-4.2168,0.0
-48.15894,-3.2616,0.0
-48.15894,-2.3064,0.0
-48.15894,-1.3512,0.0
-48.15894,-0.396,0.0
-48.15894,0.5592,0.0
-48.15894,1.5144,0.0
-48.15894,2.4696,0.0
-48.15894,3.4248,0.0
-48.15894,4.38,0.0
-48.15894,5.3352,0.0
-48.15894,6.2904,0.0
-48.15894,7.2456,0.0
-48.15894,8.2008,0.0
-48.15894,9.156,0.0
-48.15894,10.1112,0.0
-48.15894,11.0664,0.0
-48.15894,12.0216,0.0
-48.15894,12.9768,0.0
-48.15894,13.932,0.0
-48.15894,14.8872,0.0
-48.15894,15.8424,0.0
-48.15894,16.7976,0.0
-48.15894,17.7528,0.0
-48.15894,18.708,0.0
-48.15894,19.6632,0.0
-48.15894,20.6184,0.0
-48.15894,21.5736,0.0
-48.15894,22.5288,0.0
-48.15894,23.484,0.0
-48.15894,24.4392,0.0
-48.15894,25.3944,0.0
-48.15894,26.3496,0.0
-48.15894,27.3048,0.0
-48.15894,28.26,0.0
-48.15894,29.2152,0.0
-48.15894,30.1704,0.0
-48.15894,31.1256,0.0
-48.15894,32.0808,0.0
-48.15894,33.036,0.0
-48.15894,33.9912,0.0
-48.15894,34.9464,0.0
-48.15894,35.9016,0.0
-48.15894,36.8568,0.0
-48.15894,37.812,0.0
-48.15894,38.7672,0.0
-48.15894,39.7224,0.0
-48.15894,40.6776,0.0
-48.15894,41.6328,0.0
-48.15894,42.588,0.0
-48.15894,43.5432,0.0
-48.15894,44.4984,0.0
-48.15894,45.4536,0.0
-48.15894,46.4088,0.0
-48.15894,47.364,0.0
-48.15894,48.3192,0.0
-48.15894,49.2744,0.0
-48.15894,50.2296,0.0
-48.15894,51.1848,0.0
-48.15894,52.14,0.0
-48.15894,53.0952,0.0
-48.15894,54.0504,0.0
-48.15894,55.0056,0.0
-48.15894,55.9608,0.0
-48.15894,56.916,0.0
-48.15894,57.8712,0.0
-48.15894,58.8264,0.0
-48.15894,59.7816,0.0
-48.15894,60.7368,0.0
-48.15894,61.692,0.0
-48.15894,62.6472,0.0
-48.15894,63.6024,0.0
-48.15894,64.5576,0.0
-48.15894,65.5128,0.0
-48.15894,66.468,0.0
-48.15894,67.4232,0.0
-48.15894,68.3784,0.0
-48.15894,69.3336,0.0
-48.15894,70.2888,0.0
-48.15894,71.244,0.0
-48.15894,72.1992,0.0
-48.15894,73.1544,0.0
-48.15894,74.1096,0.0
-48.15894,75.0648,0.0
-48.15894,76.02,0.0
-48.15894,76.9752,0.0
-48.15894,77.9304,0.0
-48.15894,78.8856,0.0
-48.15894,79.8408,0.0
-48.15894,80.796,0.0
-48.15894,81.7512,0.0
-48.15894,82.7064,0.0
-48.15894,83.6616,0.0
-48.15894,84.6168,0.0
-48.15894,85.572,0.0
-48.15894,86.5272,0.0
-48.15894,87.4824,0.0
-42.01099,-7.0824,0.0
-42.01099,-6.1272,0.0
-42.01099,-5.172,0.0
-42.01099,-4.2168,0.0
-42.01099,-3.2616,0.0
-42.01099,-2.3064,0.0
-42.01099,-1.3512,0.0
-42.01099,-0.396,0.0
-42.01099,0.5592,0.0
-42.01099,1.5144,0.0
-42.01099,2.4696,0.0
-42.01099,3.4248,0.0
-42.01099,4.38,0.0
-42.01099,5.3352,0.0
-42.01099,6.2904,0.0
-42.01099,7.2456,0.0
-42.01099,8.2008,0.0
-42.01099,9.156,0.0
-42.01099,10.1112,0.0
-42.01099,11.0664,0.0
-42.01099,12.0216,0.0
-42.01099,12.9768,0.0
-42.01099,13.932,0.0
-42.01099,14.8872,0.0
-42.01099,15.8424,0.0
-42.01099,16.7976,0.0
-42.01099,17.7528,0.0
-42.01099,18.708,0.0
-42.01099,19.6632,0.0
-42.01099,20.6184,0.0
-42.01099,21.5736,0.0
-42.01099,22.5288,0.0
-42.01099,23.484,0.0
-42.01099,24.4392,0.0
-42.01099,25.3944,0.0
-42.01099,26.3496,0.0
-42.01099,27.3048,0.0
-42.01099,28.26,0.0
-42.01099,29.2152,0.0
-42.01099,30.1704,0.0
-42.01099,31.1256,0.0
-42.01099,32.0808,0.0
-42.01099,33.036,0.0
-42.01099,33.9912,0.0
-42.01099,34.9464,0.0
-42.01099,35.9016,0.0
-42.01099,36.8568,0.0
-42.01099,37.812,0.0
-42.01099,38.7672,0.0
-42.01099,39.7224,0.0
-42.01099,40.6776,0.0
-42.01099,41.6328,0.0
-42.01099,42.588,0.0
-42.01099,43.5432,0.0
-42.01099,44.4984,0.0
-42.01099,45.4536,0.0
-42.01099,46.4088,0.0
-42.01099,47.364,0.0
-42.01099,48.3192,0.0
-42.01099,49.2744,0.0
-42.01099,50.2296,0.0
-42.01099,51.1848,0.0
-42.01099,52.14,0.0
-42.01099,53.0952,0.0
-42.01099,54.0504,0.0
-42.01099,55.0056,0.0
-42.01099,55.9608,0.0
-42.01099,56.916,0.0
-42.01099,57.8712,0.0
-42.01099,58.8264,0.0
-42.01099,59.7816,0.0
-42.01099,60.7368,0.0
-42.01099,61.692,0.0
-42.01099,62.6472,0.0
-42.01099,63.6024,0.0
-42.01099,64.5576,0.0
-42.01099,65.5128,0.0
-42.01099,66.468,0.0
-42.01099,67.4232,0.0
-42.01099,68.3784,0.0
-42.01099,69.3336,0.0
-42.01099,70.2888,0.0
-42.01099,71.244,0.0
-42.01099,72.1992,0.0
-42.01099,73.1544,0.0
-42.01099,74.1096,0.0
-42.01099,75.0648,0.0
-42.01099,76.02,0.0
-42.01099,76.9752,0.0
-42.01099,77.9304,0.0
-42.01099,78.8856,0.0
-42.01099,79.8408,0.0
-42.01099,80.796,0.0
-42.01099,81.7512,0.0
-42.01099,82.7064,0.0
-42.01099,83.6616,0.0
-42.01099,84.6168,0.0
-42.01099,85.572,0.0
-42.01099,86.5272,0.0
-42.01099,87.4824,0.0
-35.86304,-7.0824,0.0
-35.86304,-6.1272,0.0
-35.86304,-5.172,0.0
-35.86304,-4.2168,0.0
-35.86304,-3.2616,0.0
-35.86304,-2.3064,0.0
-35.86304,-1.3512,0.0
-35.86304,-0.396,0.0
-35.86304,0.5592,0.0
-35.86304,1.5144,0.0
-35.86304,2.4696,0.0
-35.86304,3.4248,0.0
-35.86304,4.38,0.0
-35.86304,5.3352,0.0
-35.86304,6.2904,0.0
-35.86304,7.2456,0.0
-35.86304,8.2008,0.0
-35.86304,9.156,0.0
-35.86304,10.1112,0.0
-35.86304,11.0664,0.0
-35.86304,12.0216,0.0
-35.86304,12.9768,0.0
-35.86304,13.932,0.0
-35.86304,14.8872,0.0
-35.86304,15.8424,0.0
-35.86304,16.7976,0.0
-35.86304,17.7528,0.0
-35.86304,18.708,0.0
-35.86304,19.6632,0.0
-35.86304,20.6184,0.0
-35.86304,21.5736,0.0
-35.86304,22.5288,0.0
-35.86304,23.484,0.0
-35.86304,24.4392,0.0
-35.86304,25.3944,0.0
-35.86304,26.3496,0.0
-35.86304,27.3048,0.0
-35.86304,28.26,0.0
-35.86304,29.2152,0.0
-35.86304,30.1704,0.0
-35.86304,31.1256,0.0
-35.86304,32.0808,0.0
-35.86304,33.036,0.0
-35.86304,33.9912,0.0
-35.86304,34.9464,0.0
-35.86304,35.9016,0.0
-35.86304,36.8568,0.0
-35.86304,37.812,0.0
-35.86304,38.7672,0.0
-35.86304,39.7224,0.0
-35.86304,40.6776,0.0
-35.86304,41.6328,0.0
-35.86304,42.588,0.0
-35.86304,43.5432,0.0
-35.86304,44.4984,0.0
-35.86304,45.4536,0.0
-35.86304,46.4088,0.0
-35.86304,47.364,0.0
-35.86304,48.3192,0.0
-35.86304,49.2744,0.0
-35.86304,50.2296,0.0
-35.86304,51.1848,0.0
-35.86304,52.14,0.0
-35.86304,53.0952,0.0
-35.86304,54.0504,0.0
-35.86304,55.0056,0.0
-35.86304,55.9608,0.0
-35.86304,56.916,0.0
-35.86304,57.8712,0.0
-35.86304,58.8264,0.0
-35.86304,59.7816,0.0
-35.86304,60.7368,0.0
-35.86304,61.692,0.0
-35.86304,62.6472,0.0
